time,px,py,pz,pvx,pvy,pvz,pv_mag,d_p,age,alpha_air_mean,alpha_air_max,bubble_cx,bubble_cy,bubble_cells,alpha_oil_mean,alpha_oil_max,alpha_water_mean,alpha_water_max,bubble_vy,dist_to_bubble_center,in_bubble,v_rel
0.002,0.0150007,0.0300043,0.0005,0.00139541,0.00528699,0.0,0.005468037337857158,0.0003,,0.02634666581333736,1.0,0.02508257345491388,0.015023302938196556,1974,0.020213333376381367,1.0,0.9534400009619082,1.0,0.016621135490116172,0.018057531540237183,0,0.011334145490116172
0.004,0.0150065,0.0300215,0.0005,0.00371866,0.00981449,0.0,0.010495363078793415,0.0003,,0.026346665774738195,1.0,0.025054782388663967,0.015056545209176788,1976,0.020213333365435494,1.0,0.9534400010333431,1.0,0.028242520223626943,0.018025477825947277,0,0.01842803022362694
0.006,0.0150128,0.0300422,0.0005,0.00426342,0.0102864,0.0,0.011134934892328738,0.0003,,0.026346665767470932,1.0,0.024974594526102383,0.015136273019091064,1973,0.02021333341967105,1.0,0.953440001033674,1.0,0.04081819720024216,0.01792830190900612,0,0.030531797200242156
0.008,0.0150196,0.0300565,0.0005,0.0016423,0.00332463,0.0,0.0037081415732007857,0.0003,,0.026346665691152318,1.0,0.024888776541961578,0.015219817997977756,1978,0.02021333338889403,1.0,0.9534400011934763,1.0,0.045242090054820494,0.01781930914613514,0,0.04191746005482049
0.01,0.0150216,0.0300626,0.0005,0.00037375,0.00414965,0.0,0.004166447429765556,0.0003,,0.026346665695407053,1.0,0.02499137931034483,0.015317241379310346,1972,0.02021333332479845,1.0,0.953440001213851,1.0,0.05659824312159456,0.017799497193733492,0,0.05244859312159456
0.012,0.0150251,0.0300759,0.0005,0.00343497,0.00813455,0.0,0.008830057904872426,0.0003,,0.02634666560637471,1.0,0.024985632911392403,0.015446210970464135,1975,0.020213333241616435,1.0,0.9534400012004154,1.0,0.06771919103739243,0.017698587993957408,0,0.05958464103739243
0.014,0.015037,0.0300895,0.0005,0.00702607,0.00595393,0.0,0.009209502814473754,0.0003,,0.026346665713845616,1.0,0.02503575949367089,0.015588118143459916,1975,0.020213333222158007,1.0,0.9534400013879504,1.0,0.07676375570046456,0.017614348332012277,0,0.07080982570046457
0.016,0.0150393,0.0300996,0.0005,-0.00650536,0.0065793,0.0,0.00925239953847649,0.0003,,0.02634666563217623,1.0,0.024845328282828285,0.015753265993265993,1980,0.020213333277250986,1.0,0.9534400012974852,1.0,0.08541682331731604,0.017377441990016854,0,0.07883752331731604
0.018,0.0150167,0.0301082,0.0005,-0.0094888,0.00245218,0.0,0.00980053632167138,0.0003,,0.02634666560296746,1.0,0.024901609224531173,0.01592978543672918,1973,0.02021333321988396,1.0,0.9534400013824137,1.0,0.09350397571275071,0.01728406404481283,0,0.09105179571275071
0.02,0.0150014,0.0301076,0.0005,-0.00649772,6.39524e-05,0.0,0.006498034711192743,0.0003,,0.026346665699928468,1.0,0.024903113968734243,0.016127281896116997,1983,0.020213333298390344,1.0,0.9534400014489587,1.0,0.10681946360251704,0.017131644223611044,0,0.10675551120251704
