time,dt,epsilon,eta,tau_eta,u_eta,eta_B,dx_over_eta,dx_over_etaB,dt_over_tauEta
1.200000000000000030e-04,1.200000000000000030e-04,1.000000000000000021e-03,1.778279410038922969e-04,3.162277660168379134e-02,5.623413251903490971e-03,1.778279410038922969e-04,5.623413251903490284e+00,5.623413251903490284e+00,3.794733192202055707e-03
2.640000000000000202e-04,1.440000000000000036e-04,1.000000000000000021e-03,1.778279410038922969e-04,3.162277660168379134e-02,5.623413251903490971e-03,1.778279410038922969e-04,5.623413251903490284e+00,5.623413251903490284e+00,4.553679830642466848e-03
4.367999999999999921e-04,1.727999999999999990e-04,1.000000000000000021e-03,1.778279410038922969e-04,3.162277660168379134e-02,5.623413251903490971e-03,1.778279410038922969e-04,5.623413251903490284e+00,5.623413251903490284e+00,5.464415796770960218e-03
6.441599999999999583e-04,2.073599999999999933e-04,1.000000000000000021e-03,1.778279410038922969e-04,3.162277660168379134e-02,5.623413251903490971e-03,1.778279410038922969e-04,5.623413251903490284e+00,5.623413251903490284e+00,6.557298956125151741e-03
8.929920000000000045e-04,2.488319999999999920e-04,1.000000000000000021e-03,1.778279410038922969e-04,3.162277660168379134e-02,5.623413251903490971e-03,1.778279410038922969e-04,5.623413251903490284e+00,5.623413251903490284e+00,7.868758747350181743e-03
1.191589999999999967e-03,2.985980000000000166e-04,1.000000000000000021e-03,1.778279410038922969e-04,3.162277660168379134e-02,5.623413251903490971e-03,1.778279410038922969e-04,5.623413251903490284e+00,5.623413251903490284e+00,9.442497847709578965e-03
1.549910000000000046e-03,3.583179999999999937e-04,1.000000000000000021e-03,1.778279410038922969e-04,3.162277660168379134e-02,5.623413251903490971e-03,1.778279410038922969e-04,5.623413251903490284e+00,5.623413251903490284e+00,1.133101006636213354e-02
1.979890000000000209e-03,4.299819999999999771e-04,1.000000000000000021e-03,1.778279410038922969e-04,3.162277660168379134e-02,5.623413251903490971e-03,1.778279410038922969e-04,5.623413251903490284e+00,5.623413251903490284e+00,1.359722472874520111e-02
2.495869999999999859e-03,5.159780000000000529e-04,1.000000000000000021e-03,1.778279410038922969e-04,3.162277660168379134e-02,5.623413251903490971e-03,1.778279410038922969e-04,5.623413251903490284e+00,5.623413251903490284e+00,1.631665702538360324e-02
3.115039999999999910e-03,6.191740000000000048e-04,1.000000000000000021e-03,1.778279410038922969e-04,3.162277660168379134e-02,5.623413251903490971e-03,1.778279410038922969e-04,5.623413251903490284e+00,5.623413251903490284e+00,1.958000107957096406e-02
3.858050000000000021e-03,7.430079999999999714e-04,1.000000000000000021e-03,1.778279410038922969e-04,3.162277660168379134e-02,5.623413251903490971e-03,1.778279410038922969e-04,5.623413251903490284e+00,5.623413251903490284e+00,2.349597599726387098e-02
4.749660000000000167e-03,8.916100000000000371e-04,1.000000000000000021e-03,1.778279410038922969e-04,3.162277660168379134e-02,5.623413251903490971e-03,1.778279410038922969e-04,5.623413251903490284e+00,5.623413251903490284e+00,2.819518384582728882e-02
5.749660000000000187e-03,1.000000000000000021e-03,1.000000000000000021e-03,1.778279410038922969e-04,3.162277660168379134e-02,5.623413251903490971e-03,1.778279410038922969e-04,5.623413251903490284e+00,5.623413251903490284e+00,3.162277660168379828e-02
6.749660000000000208e-03,1.000000000000000021e-03,1.000000000000000021e-03,1.778279410038922969e-04,3.162277660168379134e-02,5.623413251903490971e-03,1.778279410038922969e-04,5.623413251903490284e+00,5.623413251903490284e+00,3.162277660168379828e-02
7.749660000000000229e-03,1.000000000000000021e-03,1.000000000000000021e-03,1.778279410038922969e-04,3.162277660168379134e-02,5.623413251903490971e-03,1.778279410038922969e-04,5.623413251903490284e+00,5.623413251903490284e+00,3.162277660168379828e-02
8.749659999999999382e-03,1.000000000000000021e-03,1.000000000000000021e-03,1.778279410038922969e-04,3.162277660168379134e-02,5.623413251903490971e-03,1.778279410038922969e-04,5.623413251903490284e+00,5.623413251903490284e+00,3.162277660168379828e-02
